crystalline_polished,,crystalline_nonpolished,,amorphous,,crystalline_coated,,crystalline_coated2,,crystalline_pyramid,,crystalline_black,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
2000,77.48796082,2000,75.29485321,2000,87.81951904,2000,35.85785675,2000,26.08137703,2000,22.61662865,2000,62.199646,
1999,77.28354645,1999,75.2798233,1999,87.56761169,1999,36.23913956,1999,25.88741493,1999,22.97548676,1999,62.06248856,
1998,77.161026,1998,75.12770081,1998,87.33452606,1998,36.09715652,1998,25.99219704,1998,22.76083183,1998,61.98200607,
1997,77.24630737,1997,75.06749725,1997,86.83943176,1997,36.11301422,1997,25.88234329,1997,22.60850906,1997,61.81631851,
1996,77.36962891,1996,75.08105469,1996,87.05180359,1996,36.07843399,1996,25.99188423,1996,22.67739105,1996,61.63575745,
1995,77.28302002,1995,75.27432251,1995,86.64016724,1995,36.11529922,1995,26.26314163,1995,22.49798775,1995,61.77242279,
1994,77.49706268,1994,75.54244232,1994,86.73777771,1994,35.91155243,1994,25.9405098,1994,22.4289856,1994,61.92139435,
1993,77.67062378,1993,75.23952484,1993,86.52296448,1993,36.39945221,1993,26.31755257,1993,22.79640388,1993,62.10715866,
1992,77.59480286,1992,75.4309845,1992,86.38343048,1992,36.35543823,1992,26.17914581,1992,22.6394577,1992,61.82815552,
1991,77.58081818,1991,75.24253845,1991,85.91233063,1991,35.99858093,1991,26.05541992,1991,22.67868996,1991,61.78855896,
1990,77.46162415,1990,75.19042969,1990,85.57143402,1990,36.17889023,1990,26.04557037,1990,22.58296394,1990,61.90646362,
1989,77.60959625,1989,75.72969055,1989,85.96730804,1989,36.0966835,1989,26.28381538,1989,22.73710632,1989,62.05282974,
1988,77.23179626,1988,75.31352997,1988,85.46878052,1988,36.19997787,1988,25.99303436,1988,22.65324593,1988,61.74385452,
1987,77.33251953,1987,75.25500488,1987,85.05462646,1987,36.0885582,1987,26.19156265,1987,22.52247429,1987,61.8097496,
1986,77.45054626,1986,75.32600403,1986,84.81097412,1986,36.05565262,1986,26.11146355,1986,22.47628212,1986,61.62334061,
1985,77.4342804,1985,75.26742554,1985,84.56056976,1985,36.21208191,1985,26.03189659,1985,22.42314529,1985,61.80663681,
1984,77.40733337,1984,75.18697357,1984,84.2237854,1984,36.03895569,1984,25.93290138,1984,22.41534805,1984,61.46605682,
1983,77.51097107,1983,75.20568848,1983,84.47546387,1983,36.0860939,1983,26.24407959,1983,22.48897171,1983,61.73552704,
1982,77.50833893,1982,75.34442902,1982,83.880867,1982,36.10998535,1982,25.9021225,1982,22.72694969,1982,61.5710907,
1981,77.4367218,1981,75.29322815,1981,83.36885834,1981,36.079216,1981,25.99204445,1981,22.67984772,1981,61.33861542,
1980,77.58842468,1980,75.2519455,1980,83.35561371,1980,36.05969238,1980,25.92452431,1980,22.53757477,1980,61.64935303,
1979,77.40016937,1979,75.3772049,1979,83.12128448,1979,36.09525681,1979,25.94102287,1979,22.6517601,1979,61.63767624,
1978,77.43831635,1978,75.06994629,1978,82.57669067,1978,36.23015594,1978,26.07637596,1978,22.56579781,1978,61.55995178,
1977,77.59858704,1977,75.6075058,1977,82.62338257,1977,36.21320724,1977,26.02996445,1977,22.62382889,1977,61.47056198,
